Name,Region,ISO_3166_Num,ISO_3166,Country,Business Model,Network Sharing Architecture,Network Technology,Deployment Scenario,Otro
ON*NET Fibra Colombia,Latin America,170,COL,Colombia,Independent Fixed NaaSCo,"FTTH Wholesale, IP/Ethernet Services",GPON,"Rural, Ultra-Rural, Low-ARPU Urban, High-ARPU Urban",2
ON*NET Fibra Chile,Latin America,152,CHL,Chile,Independent Fixed NaaSCo,FTTH Wholesale | Ip/Ethernet Services,GPON,"Rural, Ultra-Rural, Low-ARPU Urban",2
Red Federal de Fibra Optica (Refefo) ,Latin America,32,ARG,Argentina,Fixed OAN,Wavelength Service | IP/Ethernet Services,"DWDM, Ethernet","Rural, Ultra-Rural, Low-ARPU Urban",2
Coatl,Latin America,222,SLV,El Salvador,Fixed OAN,Wavelength Service | Ip/Ethernet Services | Dark Fiber Leasing,"DWDM, Ethernet","Rural, Ultra-Rural, Low-ARPU Urban",2
BNET,Africa & Middle East,48,BHR,Bahrain,Fixed OAN,FTTH Wholesale | Wavelength Service,"GPON, DWDM","Rural, Ultra-Rural, Low-ARPU Urban",1
SiFi Networks – Fullerton FiberCity,North America,840,USA,United States of America,Independent Fixed NaaSCo,FTTH Wholesale,GPON,"Low-ARPU Urban, High-ARPU Urban",15
Alita Indonesia / Facebook,Asia Pacific,360,IDN,Indonesia,Independent Fixed NaaSCo,FTTH Wholesale | Dark Fiber Leasing,GPON,"Low-ARPU Urban, High-ARPU Urban",1
Chorus,Asia Pacific,554,NZL,New Zealand,Independent Fixed NaaSCo,FTTH Wholesale,GPON,"Rural, Ultra-Rural, Low-ARPU Urban, High-ARPU Urban",3
UFB (Ultra-Fast Broadband),Asia Pacific,554,NZL,New Zealand,Fixed OAN,FTTH Wholesale|Dark Fiber Leasing,GPON,"Low-ARPU Urban, High-ARPU Urban",3
Open Connect Limited,Africa & Middle East,454,MWI,Malawi,Independent Fixed NaaSCo,FTTH Wholesale | Dark Fiber Leasing,GPON,"Rural, Ultra-Rural, Low-ARPU Urban, High-ARPU Urban",1
Bofinet,Africa & Middle East,72,BWA,Botswana,Fixed OAN,FTTH Wholesale | Ip/Ethernet Services,"GPON, Ethernet","Rural, Ultra-Rural, Low-ARPU Urban, High-ARPU Urban",2
TTN,Europe,208,DNK,Denmark,Independent Mobile NaaSCo,MOCN,"2G, 3G, 4G & 5G","Rural, Ultra-Rural, Low-ARPU Urban, High-ARPU Urban",1
CityFibre,Europe,826,GBR,United Kingdom,Independent Fixed NaaSCo,FTTH Wholesale,GPON,"Rural, Low-ARPU Urban, High-ARPU Urban",6
Logix Fiber Networks,North America,840,USA,United States of America,Independent Fixed NaaSCo,Wavelength Service | Ip/Ethernet Services | Dark Fiber Leasing,"DWDM, Ethernet","Rural, Low-ARPU Urban, High-ARPU Urban",15
Uniti,North America,840,USA,United States of America,Independent Fixed NaaSCo,Wavelength Service | Ip/Ethernet Services | Dark Fiber Leasing,"DWDM, Ethernet","Low-ARPU Urban, High-ARPU Urban",15
OpenFiber - Atherton Fiber,North America,840,USA,United States of America,Independent Fixed NaaSCo,FTTH Wholesale,GPON,Low-ARPU Urban,15
ExteNet Systems,North America,840,USA,United States of America,Independent Mobile NaaSCo,MNO/MVNO Wholesale,4G | 5G,"Rural, Low-ARPU Urban, High-ARPU Urban",15
Crown Castle,North America,840,USA,United States of America,Independent Mobile NaaSCo,MNO/MVNO Wholesale,5G,"Low-ARPU Urban, High-ARPU Urban",15
Mobilitie,North America,840,USA,United States of America,Independent Mobile NaaSCo,MNO/MVNO Wholesale,4G | 5G,"Low-ARPU Urban, High-ARPU Urban",15
netomnia,Europe,826,GBR,United Kingdom,Independent Fixed NaaSCo,FTTH Wholesale,XGS-PON,"Rural, Ultra-Rural, Low-ARPU Urban, High-ARPU Urban",6
Iliad,Europe,380,ITA,Italy,Independent Mobile NaaSCo,N/A,5G,"Rural, Ultra-Rural",2
Full Fibre,Europe,826,GBR,United Kingdom,Independent Fixed NaaSCo,FTTP WHolesale | Ip/Ethernet Services | Dark Fiber Leasing,"GPON, Ethernet","Rural, Ultra-Rural",6
Becloud,Europe,112,BLR,Belarus,Single Wholesale Network,MNO/MVNO Wholesale,4G,"Rural, Ultra-Rural, Low-ARPU Urban, High-ARPU Urban",1
Cellnex/Bouygues,Europe,250,FRA,France,Independent Fixed NaaSCo,Ip/Ethernet Services,Ethernet,"Low-ARPU Urban, High-ARPU Urban",2
American Tower,Latin America,76,BRA,Brazil,Independent Fixed NaaSCo,Wavelength Service | Ip/Ethernet Services| FTTH Wholesale,"GPON, Ethernet,DWDM",Low-ARPU Urban and High-ARPU Urban,4
American Tower,Latin America,484,MEX,Mexico,Independent Fixed NaaSCo,Wavelength Service | Ip/Ethernet Services | Dark Fiber Leasing | FTTH Wholesale,"GPON, Ethernet,DWDM",Low-ARPU Urban and High-ARPU Urban,3
